"# of Use","# de Uso"
"%1$s incl tax.","%1$s de imposto incl."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s e acima"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por Favor Selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não definido. Para atualizar instantaneamente, Limpe o Cache de Saída de Blocos HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cuidado!</strong> Aplicando MAP por padrão irá ocultar todos os preços de produtos no frontend."
"A group with the same name already exists.","Um grupo com este mesmo nome já existe."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ação"
"Actual Price","Preço Atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar Mudança de Design"
"Add Group","Adicionar Grupo"
"Add Group Price","Adicionar Preço de Grupo"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar Novo Conjunto"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto para Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Nível"
"Add attribute into attribute set","Adicionar atributo em conjunto de atributos"
"Add group into attribute set","Adicionar grupo em conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada em produto"
"Add new values into custom option","Adicionar novos valores em opção personalizada"
"Add option","Adicionar opção"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Information","Informação Adicional"
"Alert Urls","Urls de Alerta"
"All","Tudo"
"All Product Types","Todos os Tipos de Produto"
"All Websites","Todos Websites"
"All products","Todos produtos"
"All products - recently added products, New products - products marked as new","Todos produtos - produtos adicionados recentemente, Novos produtos - produtos marcados como novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste conjunto serão excluídos! Você tem certeza que deseja excluir este conjunto de atributos?"
"Allow All Products per Page","Permitir Todos Produtos por Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de Mídia Dinâmicas em Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allowed File Extensions","Extensões de Arquivo Permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos para websites"
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta avaliação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos de websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salva a reescrita de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao ao salvar o conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao ao salvar a coleção, abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta avaliação."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir esta categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o status do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi especificado, pulando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para %s (%s), pulando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Anchor Custom Text","Texto Âncora Personalizado"
"Anchor Custom Title","Título Âncora Personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicável somente ao catálogo de produtos e categorias. Qualquer conteúdo de mídia será inserido no editor como uma URL estática. Não será atualizado se a URL base na configuração do sistema for alterada."
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply To","Aplicar Para"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Você tem certeza que deseja remover todos os produtos de sua comparação?"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza que deseja remover este item dos produtos comparados?"
"Are you sure?","Você tem certeza?"
"As low as:","A partir de:"
"Assign","Atribuir"
"Assign product link","Atribuir vínculo do produto"
"Assign product to category","Atribuir produto à categoria"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome do Conjunto de Atrib."
"Attribute ""%s"" is invalid.","Atributo ""%s"" é inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" é obrigatório."
"Attribute Information","Informação do Atributo"
"Attribute Model","Modelo do Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributos"
"Attribute add","Adição de atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Código de atributo é inválido. Por favor use somente letras (a-z), números (0-9) ou sublinhados(_) neste campo, o primeiro caractere deve ser uma letra."
"Attribute group with the \"/name/\" name already exists","Grupo de atributos com o nome \"/nome/\" já existe"
"Attribute remove","Remoção de atributo"
"Attribute with the same code already exists","Atributo com o mesmo código já existe"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributo podem ser especificados por loja."
"Autogenerate","Autogerar"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo Backend"
"Backend Table","Tabela Backend"
"Backend Table Title","Título da Tabela Backend"
"Backorders","Pedidos Retornados"
"Based On","Baseado Em"
"Before Order Confirmation","Antes da Confirmação do Pedido"
"Best Value","Melhor Valor"
"Block after Info Column","Bloco depois da Coluna de Informação"
"Bottom Block Options Wrapper","Pacote de Opções do Bloco Inferior"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Browse By","Pesquisar Por"
"Bundle Items","Itens do Pacote"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por"
"Buy %1$s for %2$s","Comprar %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por %2$s (%3$s imposto incl.) cada"
"Buy %1$s for %2$s each","Comprar %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de Vida do Cache (Segundos)"
"Cache refresh needed.","Atualização de cache necessária."
"Can be Divided into Multiple Boxes for Shipping","Pode ser Divido em Múltiplas Caixas para Envio"
"Can be used only with catalog input type Dropdown","Pode ser usado somente com o tipo de campo do catálogo Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com os tipos de campo do catálogo Dropdown, Seleção Múltipla e Preço"
"Can\'t create image.","Não foi possível criar a imagem."
"Cancel","Cancelar"
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'.","Não foi possível criar o diretório gravável '%s'."
"Cart Item Attribute","Atributo de Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoria do Catálogo (Âncora)"
"Catalog Category (Non-Anchor)","Categoria do Catálogo (Não-Âncora)"
"Catalog Category (Without Subcategories)","Categoria do Catálogo (Sem Subcategorias)"
"Catalog Category Link","Vincular Categoria do Catálogo"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo de Preço do Catálogo"
"Catalog Product Compare List","Lista de Comparação de Produtos do Catálogo"
"Catalog Product Email to a Friend","Enviar Produto do Catálogo para Amigo por Email"
"Catalog Product Image Gallery Popup","Galeria de Imagens Popup de Produto do Catálogo"
"Catalog Product Link","Vincular Produto do Catálogo"
"Catalog Product View (Any)","Visão de Catálogo do Produto (Qualquer)"
"Catalog Product View (Configurable)","Visão de Catálogo do Produto (Configurável)"
"Catalog Product View (Grouped)","Visão de Catálogo do Produto (Agrupado)"
"Catalog Product View (Simple)","Visão de Catálogo do Produto (Simples)"
"Catalog Product View (Virtual)","Visão de Catálogo do Produto (Virtual)"
"Catalog Section","Seção do Catálogo"
"Catalog Seo Sitemap (Category List)","Sitemap Seo do Catálogo (Lista de Categorias)"
"Catalog Seo Sitemap (Category Tree)","Sitemap Seo do Catálogo (Árvore de Categorias)"
"Catalog Seo Sitemap (Common)","Sitemap Seo do Catálogo (Comum)"
"Catalog Seo Sitemap (Product List)","Sitemap Seo do Catálogo (Lista de Produtos)"
"Catalog URL Rewrites","Reescritas de URL do Catálogo"
"Catalog product custom option values API","API de valores de opção personalizados de produto do catálogo"
"Catalog product custom options API","API de opções personalizadas de produto do catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Categories Sitemap","Sitemap de Categorias"
"Category","Categoria"
"Category API","API de Categoria"
"Category Data","Dados de Categoria"
"Category Flat Data","Dados Flat de Categoria"
"Category Link Block Template","Template em Bloco de Link de Categoria"
"Category Link Inline Template","Template Em Linha de Link de Categoria"
"Category Products","Produtos da Categoria"
"Category Top Navigation","Navegação Superior da Categoria"
"Category URL Suffix","Sufixo de URL da Categoria"
"Category attributes API","API de atributos de categoria"
"Category move error","Erro ao mover categoria"
"Category move error %s","Erro ao mover categoria %s"
"Category move operation is not possible: parent category is equal to child category.","A operação de mover categoria não foi possível: categoria pai é iguala categoria filho."
"Category move operation is not possible: the current category was not found.","A operação de mover categoria não foi possível: a categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","A operação de mover categoria não foi possível: a nova categoria pai não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","A categoria precisa ser uma instância de Mage_Catalog_Model_Category."
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou Recuperar visão de loja do atributo"
"Change status","Alterar status"
"Check items to add to the cart or","Verifique os itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Tudo"
"Clear Price","Limpar Preço"
"Click for price","Clique para o preço"
"Close Window","Fechar Janela"
"Collapse All","Recolher Tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Comparable on the Frontend","Comparável no Frontend"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinação de Condições"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Configurações de Produto Configurável"
"Configure Product","Configurar Produto"
"Continue","Continuar"
"Copy From Configurable","Copiar do Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (Upload)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente para URLs se a Chave da URL for Alterada"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para URL antiga"
"Create Product Settings","Configurações de Criação de Produto"
"Create Simple Associated Product","Criar Produtos Associados Simples"
"Create attribute set based on another set","Criar conjunto de atributos baseado em outro conjunto"
"Create new attribute","Criar novo atributo"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by:","Comprando Atualmente por:"
"Custom Design","Design Personalizado"
"Custom Options","Opções Personalizadas"
"Custom options","Opções personalizadas"
"Customer Group","Grupo de Clientes"
"Customers Reviews","Avalições de Clientes"
"Customers Tagged Product","Produto Etiquetado por Clientes"
"Data Type for Saving in Database","Tipo de Dados para Salvar em Banco de Dados"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Date Fields Order","Ordem de Campos de Data"
"Date Subscribed","Data de Inscrição"
"Datetime","Datetime"
"Decimal","Decimal"
"Declare attribute value saving scope","Declare o escopo para salvar o valor do atributo"
"Default ""What's This"" Text Message","Mensagem de Texto ""O Que é Isto"" Padrão"
"Default Popup Text Message","Mensagem de Texto de Poup Padrão"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Etapa de Navegação de Preços Padrão"
"Default Qty","Qtd Padrão"
"Default Values","Valores Padrões"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo de moeda base (""Configuração de Moeda"" > ""Opções de Moeda"" > ""Moeda Base"")."
"Delete","Excluir"
"Delete Attribute","Excluir Atributo"
"Delete Attribute Set","Excluir Conjunto de Atributos"
"Delete Category","Excluir Categoria"
"Delete Group Price","Excluir Preço Agrupado"
"Delete Option","Excluir Opção"
"Delete Row","Excluir Linha"
"Delete Search","Excluir Pesquisa"
"Delete Selected Group","Excluir Grupo Selecionado"
"Delete Tier","Excluir Nível"
"Delete attribute","Excluir atributo"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do tema de design"
"Design","Design"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Exibir Preço Atual"
"Display Page Control","Exibir Controle de Página"
"Display Price Interval as One Price","Exibir Intervalo de Preço como Um Preço"
"Display Product Count","Exibir Contagem do Produto"
"Display Type","Exibir Tipo"
"Display in Suggested Terms","Exibir nos Termos Sugeridos"
"Double click on a group to rename it","Clique duplo em um grupo para renomeá-lo"
"Double click on above image to view full picture","Clique duplo na imagem acima para visualizar a imagem em tamanho real"
"Downloadable Information","Informação Baixável"
"Duplicate","Duplicar"
"Duplicate website group price customer group.","Grupo de clientes de preço agrupado de website duplicado."
"Duplicate website tier price customer group and quantity.","Grupo de clientes de preço em níveis de website e quantidade duplicados."
"Duplicate website, country and state tax found.","Imposto de website, país e estado duplicados encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""caminho/para/imagem.jpg""}} {{skin url=""caminho/para/imagem.gif""}}. Substituição de diretivas dinâmicas impacta na performance do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo de Produto"
"Edit Product Attribute ""%s""","Editar Atributo de Produto ""%s"""
"Edit Search","Editar Pesquisa"
"Edit Search '%s'","Editar Pesquisa '%s'"
"Edit Set Name","Editar Nome do Conjunto"
"Email","Email"
"Email to a Friend","Enviar para um Amigo"
"Empty","Vazio"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar Incrementos de Qtd"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable for reindexing a big number of SKUs.","Habilitar para reindexação de um grande número de SKUs."
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor de opção: %s"
"Exclude","Excluir"
"Expand All","Expandir Tudo"
"Failed","Falhou"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o arquivo %s. Por favor, exclua a mídia com as imagens não existentes e tente novamente."
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Destacar Produtos"
"Field is not complete","Campo não está completo"
"File options format is not valid.","Formato de opções de arquivo não é válido."
"File upload failed","Upload do arquivo falhou"
"Filter model name must be declared.","Nome do modelo do filtro deve ser declarado."
"Filter must be an object. Please set correct filter.","Filtro deve ser um objeto. Por favor defina o filtro correto."
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Primeiro Nome"
"Fixed","Fixo"
"For internal use.","Para uso interno."
"For the last time placed.","Pela última vez colocado."
"Frontend","Frontend"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades Frontend"
"Gallery","Galeria"
"General Information","Informação Geral"
"Get full information about attribute with list of options","Obter informações completas sobre atributo com lista de opções"
"Get full information about custom option in product","Obter informações completas sobre a opção personalizada no produto"
"Get list of available custom option types","Obter lista de tipos de opção personalizados disponíveis"
"Get list of non-default attributes by product type and attributes set","Obter a lista de atributos não-padrão por tipo de produto e conjunto de atributos"
"Get list of possible attribute types","Obter lista de possíveis tipos de atributos"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grade"
"Group add","Adição de grupo"
"Group remove","Remoção de grupo"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vazio, o Nome da Categoria será usado"
"If empty, the Product Name will be used","Se vazio, o Nome do Produto será usado"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especifica um valor de opção para uma visão de loja específica então o valor padrão (Admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","O conteúdo da imagem não são dados base64 válidos."
"Image does not exist.","Imagem não existe."
"Image file was not found.","Arquivo de imagem não foi encontrado."
"Image type and information need to be specified for each store view.","Tipo da imagem e informações precisam ser especificados para cada visão de loja."
"In Cart","No Carrinho"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Incl. Tax","Imposto Incl."
"Index product and categories URL rewrites","Indexar as reescritas de URL de produtos e categorias"
"Index product attributes for layered navigation building","Indexar atributos de produtos para a contrução de navegação em camadas"
"Index product prices","Indexar preços dos produtos"
"Indexed category/products association","Associação de categoria/produtos indexados"
"Info","Info"
"Info Column Options Wrapper","Pacote de Opções de Coluna de Informações"
"Input Type","Tipo do Campo"
"Integer","Inteiro"
"Interval Division Limit","Limite de Divisão de Intervalo"
"Invalid Tier Prices","Preços em Nível Inválido"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválida especificada para o atributo %s (%s), ignorando o registro."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos especificado inválido, ignorando o registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs de categoria inválidos."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option ID specified for %s (%s), skipping the record.","ID de opção inválido especificado para %s (%s), ignorando o registro."
"Invalid product type specified, skipping the record.","Tipo de produto inválido especificado, ignorando o registro."
"Invalid store specified","Loja inválida especificada"
"Invalid store specified, skipping the record.","Loja inválida especificada, ignorando o registro."
"Invalid tier prices. The product is not associated to the requested website.","Preços em nível inválidos. O produto não está associado ao website solicitado."
"Inventory","Inventário"
"Is Default","É Padrão"
"Is Required","É Obrigatório"
"Items %s to %s of %s total","Itens %s até %s de %s no total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou resultados de pesquisa devem ter o status 'Desabilitado' na loja desejada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou resultados de pesquisa devem ter o status 'Desabilitado' na loja desejada."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique de olhos abertos nas promoções de volta as aulas e economize MUITO!"
"Label","Etiqueta"
"Last Name","Último Nome"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saiba Mais"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Vínculo (Relacionado, Venda induzida, Venda cruzada)"
"Link product does not exist.","Produto vinculado não existe."
"Link to a Specified Category","Vincular à uma Categoria Especificada"
"Link to a Specified Product","Vincular à um Produto Especificado"
"List","Lista"
"List Mode","Modo de Listagem"
"List of Products that are set as New","Lista de Produtos que estão definidos como Novo"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categorias do Catálogo"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Etiqueta / Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores de seus atributos)"
"Manage Product Attributes","Gerenciar Atributos de Produto"
"Manage Product Sets","Gerenciar Conjuntos de Produto"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (Tamanho, Cor, etc.)"
"Max Characters","Caracteres Max"
"Maximal Depth","Profundidade Máxima"
"Maximum Image Size","Tamanho Máxio de Imagem"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho de Compras"
"Maximum allowed image size for '%s' is %sx%s px.","Tamanho de imagem máximo permitido para '%s' é %sx%s px."
"Maximum image height","Altura máxima de imagem"
"Maximum image width","Largura máxima de imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de preço é 100"
"Media Image","Imagem de Mídia"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtd Mínima para o Status do Item ficar Fora de Estoque"
"Missing SKU, skipping the record.","SKU ausente, ignorando o registro."
"More Views","Mais Visualizações"
"Move","Mover"
"Move category in tree","Mover categoria em árvore"
"Must be in the allowed values list.","Precisa estar na lista de valores permitidos."
"N/A","N/D"
"Name","Nome"
"Name in %s","Nome em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Template em Grade de Novos Produtos"
"New Products List Template","Template em Lista de Novos Produtos"
"New Root Category","Nova Categoria Raiz"
"New Search","Nova Pesquisa"
"New Set Name","Novo Nome de Conjunto"
"New Subcategory","Nova Subcategoria"
