"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço do Carrinho de Compras baseadas no atributo ""%s"" foram desabilitadas."
"%s Coupon(s) have been generated","%s Cupons foram gerados"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar cupons. Por favor, verifique o log e tente novamente."
"Apply","Aplicar"
"Apply To","Aplicar Para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente à itens do carrinho que coincidam com as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam às seguintes condições"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir os cupons selecionados?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Códigos de Cupons Específicos Gerados Automaticamente"
"Buy X get Y free (discount amount is Y)","Compre X ganhe Y grátis (quantidade de desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentual"
"Can\'t acquire coupon.","Não é possível adquirir cupons."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do Código"
"Code Length","Cumprimento do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo do Código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupom"
"Coupon Code","Código de Cupom"
"Coupon Qty","Qtd de Cupons"
"Coupon with the same code","Cupom com o mesmo código"
"Coupons Information","Informações de Cupons"
"Created On","Criado Em"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Traço Cada X Caracteres"
"Date Expire","Data de Vencimento"
"Date Start","Data de Início"
"Default Label","Etiqueta Padrão"
"Default Rule Label for All Store Views","Etiqueta de Regra Padrão para Todas as Visões de Loja"
"Description","Descrição"
"Discount Amount","Valor de Desconto"
"Discount Qty Step (Buy X)","Etapa de Qtd de Desconto (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores."
"FOUND","ENCONTRADO"
"Fixed amount discount","Valor fixo de desconto"
"Fixed amount discount for whole cart","Valor fixo de desconto para todo o carrinho"
"For matching items only","Somente para os itens correspondentes"
"For shipment with matching items","Para entregas com itens correspondentes"
"Free Shipping","Entrega Grátis"
"From Date","A Partir da Data"
"General Information","Informações Gerais"
"Generate","Gerar"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s para uma subseleção de itens no carrinho correspondente à %s destas condições:"
"If an item is %s in the cart with %s of these conditions true:","Se um item for %s no carrinho com %s destas condições verdadeiras:"
"If empty no separation.","Se vazio, nenhuma separação."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionar e salvar a regra, você será capaz de gerar vários códigos de cupom."
"Inactive","Inativo"
"Item totals are not set for rule.","Totais do item não estão definidos para regra."
"Labels","Etiquetas"
"Manage Coupon Codes","Gerenciar Códigos de Cupons"
"Maximum Qty Discount is Applied To","Qtd Max de Desconto é Aplicada Para"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO LOGADO"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Nenhum Cupom"
"Not valid data provided","Nenhum dado válido fornecido"
"Number of Uses","Número de Usos"
"Numeric","Numérico"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Desconto percentual no preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Subseleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Publicar No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","Regra não está definida"
"Sales Discount Amount","Valor do Desconto da Venda"
"Sales Subtotal Amount","Valor do Subtotal da Venda"
"Sales Total Amount","Valor Total da Venda"
"Save and Continue Edit","Salvar e Continuar Editando"
"Shipping Country","País de Entrega"
"Shipping Method","Método de Entrega"
"Shipping Postcode","Código Postal de Entrega"
"Shipping Region","Região de Entrega"
"Shipping State/Province","Estado/Província de Entrega"
"Shopping Cart Price Rule","Regra de Preço do Carrinho de Compras"
"Shopping Cart Price Rules","Regras de Preço do Carrinho de Compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupom Específico"
"Status","Status"
"Stop Further Rules Processing","Interromper o Processamento de Futuras Regras"
"Store View Specific Labels","Etiquetas Específicas de Visão de Loja"
"Subtotal","Subtotal"
"Subtotal Amount","Valor do Subtotal"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Número de Usos"
"To Date","Até a Data"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentual"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade Total de Itens"
"Total Weight","Peso Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não foi possível criar a Qtd de Cupons solicitada. Por favor verifique as configurações e tente novamente."
"Unable to find a rule to delete.","Não foi possível encontrar uma regra para excluir."
"Update prices using the following information","Atualizar preços usando a seguinte informação"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Use Auto Generation","Usar Geração Automática"
"Used","Usado"
"Uses per Coupon","Usos por Cupom"
"Uses per Customer","Usos por Cliente"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Regra especificada incorreta."
"Yes","Sim"
"total amount","valor total"
"total quantity","quantidade total"
